
0       : 0x72efd03c80  [0xc80     ]  "add x8, sp, #0xc0" (r)sp=0x7fd2dd3370 (w)x8=0x7fd2dd3430
1       : 0x72efd03c84  [0xc84     ]  "str x8, [sp, #0x18]" (r)x8=0x7fd2dd3430 (r)sp=0x7fd2dd3388
2       : 0x72efd03c88  [0xc88     ]  "mrs x8, tpidr_el0" (w)x8=0x75bc936000
3       : 0x72efd03c8c  [0xc8c     ]  "ldr x8, [x8, #0x28]" (r)x8=0x75bc936028 (w)x8=0xabc4edc98d49c005
4       : 0x72efd03c90  [0xc90     ]  "stur x8, [x29, #-8]" (r)x8=0xabc4edc98d49c005 (r)fp=0x7fd2dd3558
5       : 0x72efd03c94  [0xc94     ]  "str x0, [sp, #0x98]" (r)x0=0x73165cd4b0 (r)sp=0x7fd2dd3408
6       : 0x72efd03c98  [0xc98     ]  "str x1, [sp, #0x90]" (r)x1=0x73366e5e50 (r)sp=0x7fd2dd3400
7       : 0x72efd03c9c  [0xc9c     ]  "str x2, [sp, #0x88]" (r)x2=0x2f (r)sp=0x7fd2dd33f8
8       : 0x72efd03ca0  [0xca0     ]  "str x3, [sp, #0x80]" (r)x3=0x19e11ba89ed (r)sp=0x7fd2dd33f0
9       : 0x72efd03ca4  [0xca4     ]  "mov w8, #1" (w)w8=0x1
a       : 0x72efd03ca8  [0xca8     ]  "str w8, [sp, #4]" (r)w8=0x1 (r)sp=0x7fd2dd3374
b       : 0x72efd03cac  [0xcac     ]  "mov w1, w8" (r)w8=0x1 (w)w1=0x1
c       : 0x72efd03cb0  [0xcb0     ]  "add x0, sp, #0xb8" (r)sp=0x7fd2dd3370 (w)x0=0x7fd2dd3428
d       : 0x72efd03cb4  [0xcb4     ]  "str x0, [sp, #0x10]" (r)x0=0x7fd2dd3428 (r)sp=0x7fd2dd3380
e       : 0x72efd03cb8  [0xcb8     ]  "bl #0x72efd04138"
f       : 0x72efd04138  [0x1138    ]  "sub sp, sp, #0x20" (r)sp=0x7fd2dd3370 (w)sp=0x7fd2dd3350
10      : 0x72efd0413c  [0x113c    ]  "stp x29, x30, [sp, #0x10]" (r)fp=0x7fd2dd3560 (r)lr=0x72efd03cbc (r)sp=0x7fd2dd3360
11      : 0x72efd04140  [0x1140    ]  "add x29, sp, #0x10" (r)sp=0x7fd2dd3350 (w)fp=0x7fd2dd3360
12      : 0x72efd04144  [0x1144    ]  "str x0, [sp, #8]" (r)x0=0x7fd2dd3428 (r)sp=0x7fd2dd3358
13      : 0x72efd04148  [0x1148    ]  "str x1, [sp]" (r)x1=0x1 (r)sp=0x7fd2dd3350
14      : 0x72efd0414c  [0x114c    ]  "ldr x0, [sp, #8]" (r)sp=0x7fd2dd3358 (w)x0=0x7fd2dd3428
15      : 0x72efd04150  [0x1150    ]  "ldr x1, [sp]" (r)sp=0x7fd2dd3350 (w)x1=0x1
16      : 0x72efd04154  [0x1154    ]  "bl #0x72efd04284"
17      : 0x72efd04284  [0x1284    ]  "sub sp, sp, #0x30" (r)sp=0x7fd2dd3350 (w)sp=0x7fd2dd3320
18      : 0x72efd04288  [0x1288    ]  "stp x29, x30, [sp, #0x20]" (r)fp=0x7fd2dd3360 (r)lr=0x72efd04158 (r)sp=0x7fd2dd3340
19      : 0x72efd0428c  [0x128c    ]  "add x29, sp, #0x20" (r)sp=0x7fd2dd3320 (w)fp=0x7fd2dd3340
1a      : 0x72efd04290  [0x1290    ]  "stur x0, [x29, #-8]" (r)x0=0x7fd2dd3428 (r)fp=0x7fd2dd3338
1b      : 0x72efd04294  [0x1294    ]  "str x1, [sp, #0x10]" (r)x1=0x1 (r)sp=0x7fd2dd3330
1c      : 0x72efd04298  [0x1298    ]  "ldur x0, [x29, #-8]" (r)fp=0x7fd2dd3338 (w)x0=0x7fd2dd3428
1d      : 0x72efd0429c  [0x129c    ]  "ldr x3, [sp, #0x10]" (r)sp=0x7fd2dd3330 (w)x3=0x1
1e      : 0x72efd042a0  [0x12a0    ]  "ldrb w1, [sp, #0xf]" (r)sp=0x7fd2dd332f (w)w1=0x0
1f      : 0x72efd042a4  [0x12a4    ]  "ldrb w2, [sp, #0xe]" (r)sp=0x7fd2dd332e (w)w2=0x0
20      : 0x72efd042a8  [0x12a8    ]  "bl #0x72efd042b8"
21      : 0x72efd042b8  [0x12b8    ]  "sub sp, sp, #0x30" (r)sp=0x7fd2dd3320 (w)sp=0x7fd2dd32f0
22      : 0x72efd042bc  [0x12bc    ]  "strb w1, [sp, #0x2f]" (r)w1=0x0 (r)sp=0x7fd2dd331f
23      : 0x72efd042c0  [0x12c0    ]  "strb w2, [sp, #0x2e]" (r)w2=0x0 (r)sp=0x7fd2dd331e
24      : 0x72efd042c4  [0x12c4    ]  "str x0, [sp, #0x20]" (r)x0=0x7fd2dd3428 (r)sp=0x7fd2dd3310
25      : 0x72efd042c8  [0x12c8    ]  "str x3, [sp, #0x18]" (r)x3=0x1 (r)sp=0x7fd2dd3308
26      : 0x72efd042cc  [0x12cc    ]  "ldr x8, [sp, #0x20]" (r)sp=0x7fd2dd3310 (w)x8=0x7fd2dd3428
27      : 0x72efd042d0  [0x12d0    ]  "str x8, [sp, #0x10]" (r)x8=0x7fd2dd3428 (r)sp=0x7fd2dd3300
28      : 0x72efd042d4  [0x12d4    ]  "ldr x8, [sp, #0x18]" (r)sp=0x7fd2dd3308 (w)x8=0x1
29      : 0x72efd042d8  [0x12d8    ]  "mov x10, #0x7fffffff" (w)x10=0x7fffffff
2a      : 0x72efd042dc  [0x12dc    ]  "udiv x9, x8, x10" (r)x8=0x1 (r)x10=0x7fffffff (w)x9=0x0
2b      : 0x72efd042e0  [0x12e0    ]  "mul x9, x9, x10" (r)x9=0x0 (r)x10=0x7fffffff (w)x9=0x0
2c      : 0x72efd042e4  [0x12e4    ]  "subs x8, x8, x9" (r)x8=0x1 (r)x9=0x0 (w)x8=0x1
2d      : 0x72efd042e8  [0x12e8    ]  "cbnz x8, #0x72efd042f8" (r)x8=0x1
2e      : 0x72efd042f8  [0x12f8    ]  "ldr x8, [sp, #0x18]" (r)sp=0x7fd2dd3308 (w)x8=0x1
2f      : 0x72efd042fc  [0x12fc    ]  "mov x10, #0x7fffffff" (w)x10=0x7fffffff
30      : 0x72efd04300  [0x1300    ]  "udiv x9, x8, x10" (r)x8=0x1 (r)x10=0x7fffffff (w)x9=0x0
31      : 0x72efd04304  [0x1304    ]  "mul x9, x9, x10" (r)x9=0x0 (r)x10=0x7fffffff (w)x9=0x0
32      : 0x72efd04308  [0x1308    ]  "subs x8, x8, x9" (r)x8=0x1 (r)x9=0x0 (w)x8=0x1
33      : 0x72efd0430c  [0x130c    ]  "str x8, [sp, #8]" (r)x8=0x1 (r)sp=0x7fd2dd32f8
34      : 0x72efd04310  [0x1310    ]  "ldr x9, [sp, #0x10]" (r)sp=0x7fd2dd3300 (w)x9=0x7fd2dd3428
35      : 0x72efd04314  [0x1314    ]  "ldr x8, [sp, #8]" (r)sp=0x7fd2dd32f8 (w)x8=0x1
36      : 0x72efd04318  [0x1318    ]  "str x8, [x9]" (r)x8=0x1 (r)x9=0x7fd2dd3428
37      : 0x72efd0431c  [0x131c    ]  "add sp, sp, #0x30" (r)sp=0x7fd2dd32f0 (w)sp=0x7fd2dd3320
38      : 0x72efd04320  [0x1320    ]  "ret "
39      : 0x72efd042ac  [0x12ac    ]  "ldp x29, x30, [sp, #0x20]" (r)sp=0x7fd2dd3340 (w)fp=0x7fd2dd3360 (w)lr=0x72efd04158
3a      : 0x72efd042b0  [0x12b0    ]  "add sp, sp, #0x30" (r)sp=0x7fd2dd3320 (w)sp=0x7fd2dd3350
3b      : 0x72efd042b4  [0x12b4    ]  "ret "
3c      : 0x72efd04158  [0x1158    ]  "ldp x29, x30, [sp, #0x10]" (r)sp=0x7fd2dd3360 (w)fp=0x7fd2dd3560 (w)lr=0x72efd03cbc
3d      : 0x72efd0415c  [0x115c    ]  "add sp, sp, #0x20" (r)sp=0x7fd2dd3350 (w)sp=0x7fd2dd3370
3e      : 0x72efd04160  [0x1160    ]  "ret "
3f      : 0x72efd03cbc  [0xcbc     ]  "ldr w1, [sp, #4]" (r)sp=0x7fd2dd3374 (w)w1=0x1
40      : 0x72efd03cc0  [0xcc0     ]  "add x0, sp, #0xb0" (r)sp=0x7fd2dd3370 (w)x0=0x7fd2dd3420
41      : 0x72efd03cc4  [0xcc4     ]  "str x0, [sp, #8]" (r)x0=0x7fd2dd3420 (r)sp=0x7fd2dd3378
42      : 0x72efd03cc8  [0xcc8     ]  "mov w2, #0xff" (w)w2=0xff
43      : 0x72efd03ccc  [0xccc     ]  "bl #0x72efd04164"
44      : 0x72efd04164  [0x1164    ]  "sub sp, sp, #0x20" (r)sp=0x7fd2dd3370 (w)sp=0x7fd2dd3350
45      : 0x72efd04168  [0x1168    ]  "stp x29, x30, [sp, #0x10]" (r)fp=0x7fd2dd3560 (r)lr=0x72efd03cd0 (r)sp=0x7fd2dd3360
46      : 0x72efd0416c  [0x116c    ]  "add x29, sp, #0x10" (r)sp=0x7fd2dd3350 (w)fp=0x7fd2dd3360
47      : 0x72efd04170  [0x1170    ]  "str x0, [sp, #8]" (r)x0=0x7fd2dd3420 (r)sp=0x7fd2dd3358
48      : 0x72efd04174  [0x1174    ]  "strb w1, [sp, #7]" (r)w1=0x1 (r)sp=0x7fd2dd3357
49      : 0x72efd04178  [0x1178    ]  "strb w2, [sp, #6]" (r)w2=0xff (r)sp=0x7fd2dd3356
4a      : 0x72efd0417c  [0x117c    ]  "ldr x0, [sp, #8]" (r)sp=0x7fd2dd3358 (w)x0=0x7fd2dd3420
4b      : 0x72efd04180  [0x1180    ]  "ldrb w1, [sp, #7]" (r)sp=0x7fd2dd3357 (w)w1=0x1
4c      : 0x72efd04184  [0x1184    ]  "ldrb w2, [sp, #6]" (r)sp=0x7fd2dd3356 (w)w2=0xff
4d      : 0x72efd04188  [0x1188    ]  "bl #0x72efd04324"
4e      : 0x72efd04324  [0x1324    ]  "sub sp, sp, #0x10" (r)sp=0x7fd2dd3350 (w)sp=0x7fd2dd3340
4f      : 0x72efd04328  [0x1328    ]  "str x0, [sp, #8]" (r)x0=0x7fd2dd3420 (r)sp=0x7fd2dd3348
50      : 0x72efd0432c  [0x132c    ]  "strb w1, [sp, #7]" (r)w1=0x1 (r)sp=0x7fd2dd3347
51      : 0x72efd04330  [0x1330    ]  "strb w2, [sp, #6]" (r)w2=0xff (r)sp=0x7fd2dd3346
52      : 0x72efd04334  [0x1334    ]  "ldr x9, [sp, #8]" (r)sp=0x7fd2dd3348 (w)x9=0x7fd2dd3420
53      : 0x72efd04338  [0x1338    ]  "ldrb w8, [sp, #7]" (r)sp=0x7fd2dd3347 (w)w8=0x1
54      : 0x72efd0433c  [0x133c    ]  "strb w8, [x9]" (r)w8=0x1 (r)x9=0x7fd2dd3420
55      : 0x72efd04340  [0x1340    ]  "ldrb w8, [sp, #6]" (r)sp=0x7fd2dd3346 (w)w8=0xff
56      : 0x72efd04344  [0x1344    ]  "strb w8, [x9, #1]" (r)w8=0xff (r)x9=0x7fd2dd3421
57      : 0x72efd04348  [0x1348    ]  "add sp, sp, #0x10" (r)sp=0x7fd2dd3340 (w)sp=0x7fd2dd3350
58      : 0x72efd0434c  [0x134c    ]  "ret "
59      : 0x72efd0418c  [0x118c    ]  "ldp x29, x30, [sp, #0x10]" (r)sp=0x7fd2dd3360 (w)fp=0x7fd2dd3560 (w)lr=0x72efd03cd0
5a      : 0x72efd04190  [0x1190    ]  "add sp, sp, #0x20" (r)sp=0x7fd2dd3350 (w)sp=0x7fd2dd3370
5b      : 0x72efd04194  [0x1194    ]  "ret "
5c      : 0x72efd03cd0  [0xcd0     ]  "ldr x0, [sp, #8]" (r)sp=0x7fd2dd3378 (w)x0=0x7fd2dd3420
5d      : 0x72efd03cd4  [0xcd4     ]  "ldr x1, [sp, #0x10]" (r)sp=0x7fd2dd3380 (w)x1=0x7fd2dd3428
5e      : 0x72efd03cd8  [0xcd8     ]  "bl #0x72efd04198"
5f      : 0x72efd04198  [0x1198    ]  "sub sp, sp, #0x60" (r)sp=0x7fd2dd3370 (w)sp=0x7fd2dd3310
60      : 0x72efd0419c  [0x119c    ]  "stp x29, x30, [sp, #0x50]" (r)fp=0x7fd2dd3560 (r)lr=0x72efd03cdc (r)sp=0x7fd2dd3360
61      : 0x72efd041a0  [0x11a0    ]  "add x29, sp, #0x50" (r)sp=0x7fd2dd3310 (w)fp=0x7fd2dd3360
62      : 0x72efd041a4  [0x11a4    ]  "mrs x8, tpidr_el0" (w)x8=0x75bc936000
63      : 0x72efd041a8  [0x11a8    ]  "str x8, [sp, #0x10]" (r)x8=0x75bc936000 (r)sp=0x7fd2dd3320
64      : 0x72efd041ac  [0x11ac    ]  "ldr x8, [x8, #0x28]" (r)x8=0x75bc936028 (w)x8=0xabc4edc98d49c005
